local,oaci,iata,tipo,denominacion,coordenadas,latitud,longitud,elev,uom_elev,ref,distancia_ref,direccion_ref,condicion,control,region,fir,uso,trafico,sna,concesionado,provincia,inhab
HEC,SIN_CODIGO,SIN_CODIGO,helipuerto,LA PLATA/ECODYMA S.C.A.,"34°56'27""S  57°59'31""W",-34.94083333333333,-57.99194444444444,14.0,Metros,Estación La Plata,5.5,SO,PRIVADO,NOCONTROL,RACE,SAEF,civil,Nacional,NO,NO,Buenos Aires,NO
HEN,SIN_CODIGO,SIN_CODIGO,helipuerto,BAHÍA SAN SEBASTIÁN/PLANTA CRUZ DEL SUR,"53°19'23""S  68°15'58""W",-53.323055555555555,-68.26611111111112,53.0,Metros,Río Grande,64.0,NO,PRIVADO,NOCONTROL,RASU,SAVF,civil,Nacional,NO,NO,Tierra Del Fuego Antártida E Islas Del Atlántico Sur,NO
HES,SIN_CODIGO,SIN_CODIGO,helipuerto,ARIES/TOTAL FINA,"52°40'59""S  68° 2'31""W",-52.683055555555555,-68.04194444444444,0.0,Pies,,0.0,,PRIVADO,NOCONTROL,RASU,SAVF,civil,Nacional,NO,NO,Tierra Del Fuego Antártida E Islas Del Atlántico Sur,NO
HET,SIN_CODIGO,SIN_CODIGO,helipuerto,SANTIAGO DEL ESTERO/HELIPUERTO EDIFICIO TRIBUNALES,"27°46'53""S  64°15'54""W",-27.781388888888888,-64.265,195.0,Metros,Av. H. Yrigoyen entre Av. Alvear y Chacabuco,,,PRIVADO,NOCONTROL,RANO,SACF,desconocido,Nacional,NO,NO,Santiago Del Estero,NO
HEV,SIN_CODIGO,SIN_CODIGO,helipuerto,ALMIRANTE BROWN/DESTACAMENTO POLICIAL EL VAPOR,"34°50' 5""S  58°23' 6""W",-34.834722222222226,-58.385,28.0,Metros,Destacamento Policial El Vapor,0.0,Lindando,PUBLICO,NOCONTROL,RACE,SAEF,civil,Nacional,NO,NO,Buenos Aires,NO
HFA,SIN_CODIGO,SIN_CODIGO,helipuerto,BUENOS AIRES/FUERZA AÉREA,"34°35'10""S  58°22' 5""W",-34.586111111111116,-58.36805555555556,6.0,Metros,Estación Retiro,0.5,NE,PRIVADO,NOCONTROL,RACE,SAEF,mil,Nacional,NO,NO,Ciudad Autónoma De Buenos Aires,NO
HFC,SIN_CODIGO,SIN_CODIGO,helipuerto,SALTA/FINCA LAS COSTAS,"24°46'13""S  65°29'44""W",-24.77027777777778,-65.49555555555555,1311.0,Metros,Salta,8.5,ONO,PRIVADO,NOCONTROL,RANO,SACF,civil,Nacional,NO,NO,Salta,NO
HFV,SIN_CODIGO,SIN_CODIGO,helipuerto,FLORENCIO VARELA/COLONIA LA CAPILLA,"34°55' 1""S  58°15' 1""W",-34.91694444444444,-58.250277777777775,25.0,Metros,Florencio Varela,9.0,OSO,PUBLICO,NOCONTROL,RACE,SAEF,civil,Nacional,NO,NO,Buenos Aires,NO
HGA,SIN_CODIGO,SIN_CODIGO,helipuerto,CAÑUELAS/CAÑUELAS GAS S.A.,"35° 3'30""S  58°47'17""W",-35.05833333333333,-58.78805555555555,30.0,Metros,Cañuelas,9.0,OSO,PRIVADO,NOCONTROL,RACE,SAEF,civil,Nacional,NO,NO,Buenos Aires,NO
HGB,SIN_CODIGO,SIN_CODIGO,helipuerto,SALTA/CENTRO CÍVICO GRAND BOURG,"24°46'51""S  65°27' 4""W",-24.780833333333334,-65.45111111111112,1260.0,Metros,Salta,4.0,NE,PRIVADO,NOCONTROL,RANO,SACF,civil,Nacional,NO,NO,Salta,NO
HGM,SIN_CODIGO,SIN_CODIGO,helipuerto,GONZALEZ CATÁN/LAR DE PAZ S.A.,"34°46'35""S  58°39'30""W",-34.77638888888889,-58.65833333333333,15.0,Metros,Estación FFCC Gonzalez Catán,1.3,SO,PRIVADO,NOCONTROL,RACE,SAEF,civil,Nacional,NO,NO,Buenos Aires,NO
HGN,SIN_CODIGO,SIN_CODIGO,helipuerto,BUENOS AIRES/CENTINELA,"34°34'57""S  58°22'28""W",-34.5825,-58.37444444444444,13.0,Metros,Ciudad de Buenos Aires,0.0,SE,PRIVADO,NOCONTROL,RACE,SAEF,joint,Nacional,NO,NO,Ciudad Autónoma De Buenos Aires,NO
HGS,SIN_CODIGO,SIN_CODIGO,aeródromo,HUGHES/PLUS AGROSERVICIOS AÉREOS,"33°48'40""S  61°20'15""W",-33.81111111111111,-61.337500000000006,97.0,Metros,Hughes,1.0,S,PRIVADO,NOCONTROL,RACE,SAEF,aeroapp,Nacional,NO,NO,Santa Fé,NO
HHL,SIN_CODIGO,SIN_CODIGO,helipuerto,LAS LAJAS/EA. HAYCHOL,"38°32'53""S  70°40'39""W",-38.54805555555556,-70.67750000000001,1051.0,Metros,Las Lajas,35.0,O,PRIVADO,NOCONTROL,RACE,SAEF,civil,Nacional,NO,NO,Neuquén,NO
HHM,SIN_CODIGO,SIN_CODIGO,helipuerto,SALTA/HOSPITAL DE MILAGRO,"24°46'23""S  65°24'56""W",-24.773055555555555,-65.41555555555556,1240.0,Metros,Salta,3.0,N,PRIVADO,NOCONTROL,RANO,SACF,civil,Nacional,NO,NO,Salta,NO
HHT,SIN_CODIGO,SIN_CODIGO,helipuerto,DON TORCUATO/TECNOCOPTER S.A.,"34°29'34""S  58°36'25""W",-34.49277777777778,-58.606944444444444,20.0,Metros,Ex Aeródromo Don Torcuato,0.0,Lindando,PUBLICO,NOCONTROL,RACE,SAEF,civil,Nacional,NO,NO,Buenos Aires,NO
HHW,SIN_CODIGO,SIN_CODIGO,helipuerto,MORENO/HELIWEST,"34°38' 3""S  58°45' 6""W",-34.634166666666665,-58.751666666666665,21.5,Metros,Moreno,3.9,ENE,PRIVADO,NOCONTROL,RACE,SAEF,civil,Nacional,NO,NO,Buenos Aires,NO
HIL,SIN_CODIGO,SIN_CODIGO,helipuerto,GRAL. VILLEGAS/SAN ISIDRO LABRADOR II,"35° 4'54""S  63° 4'48""W",-35.08166666666667,-63.080000000000005,115.0,Metros,General Villegas,8.0,SE,PRIVADO,NOCONTROL,RACE,SAEF,civil,Nacional,NO,NO,Buenos Aires,NO
HIS,SIN_CODIGO,SIN_CODIGO,helipuerto,LA MATANZA/CAMPANÓPOLIS,"34°47'30""S  58°36' 7""W",-34.791666666666664,-58.60194444444445,6.0,Metros,Aeropuerto Ezeiza / Ministro Pistarini,7.0,ONO,PRIVADO,NOCONTROL,RACE,SAEF,civil,Nacional,NO,NO,Buenos Aires,NO
HIT,SIN_CODIGO,SIN_CODIGO,helipuerto,ITUZAINGÓ/TRANSENER,"27°33'31""S  56°39'30""W",-27.558611111111112,-56.65833333333333,71.0,Metros,Ituzaingó,4.0,NNE,PRIVADO,NOCONTROL,RANE,SARR,civil,Nacional,NO,NO,Corrientes,NO
HJN,SIN_CODIGO,SIN_CODIGO,helipuerto,JUNÍN DE LOS ANDES/EA. PALITUE,"39°51'10""S  71° 2'47""W",-39.85277777777778,-71.04638888888888,859.0,Metros,Junín de los Andes,10.0,N,PRIVADO,NOCONTROL,RACE,SAEF,civil,Nacional,NO,NO,Neuquén,NO
HLE,SIN_CODIGO,SIN_CODIGO,helipuerto,LAGO ESCONDIDO/HIDDEN LAKE S.A.,"41°42'12""S  71°36'28""W",-41.70333333333333,-71.60777777777777,830.0,Metros,El Bolsón,31.0,NNO,PRIVADO,NOCONTROL,RASU,SAVF,civil,Nacional,NO,NO,Río Negro,NO
HLF,SIN_CODIGO,SIN_CODIGO,helipuerto,CAPILLA DEL SEÑOR/LOS FRESNOS,"34°16'54""S  59° 7' 7""W",-34.281666666666666,-59.118611111111115,34.0,Metros,Capilla del Señor,2.2,NO,PRIVADO,NOCONTROL,RACE,SAEF,civil,Nacional,NO,NO,Buenos Aires,NO
HLH,SIN_CODIGO,SIN_CODIGO,helipuerto,LUJÁN/HOMAQ,"34°33'26""S  59° 2'45""W",-34.55722222222222,-59.045833333333334,24.0,Metros,Luján,6.0,N,PRIVADO,NOCONTROL,RACE,SAEF,civil,Nacional,NO,NO,Buenos Aires,NO
HLI,SIN_CODIGO,SIN_CODIGO,helipuerto,DON TORCUATO/HELICENTER,"34°29'51""S  58°36'25""W",-34.4975,-58.606944444444444,3.87,Metros,Ex Aeródromo Don Torcuato,0.0,Lindando,PRIVADO,NOCONTROL,RACE,SAEF,civil,Nacional,NO,NO,Buenos Aires,NO
HLL,SIN_CODIGO,SIN_CODIGO,helipuerto,SAN CARLOS DE BARILOCHE/COMPLEJO LLAO LLAO,"41° 3'17""S  71°32' 2""W",-41.05472222222222,-71.53388888888888,775.0,Metros,San Carlos de Bariloche,20.0,O,PRIVADO,NOCONTROL,RACE,SAEF,civil,Nacional,NO,NO,Río Negro,NO
HLP,SIN_CODIGO,SIN_CODIGO,helipuerto,LA PLATA/HELIPUERTO D.P.A.O.,"34°57'35""S  57°53'35""W",-34.959722222222226,-57.893055555555556,19.0,Metros,Extremo W del aeródromo,0.0,Lindando,PUBLICO,NOCONTROL,RACE,SAEF,civil,Nacional,NO,NO,Buenos Aires,NO
HLR,SIN_CODIGO,SIN_CODIGO,helipuerto,LOS CARDALES/LA RESERVA,"34°16'14""S  58°54' 2""W",-34.27055555555555,-58.900555555555556,6.0,Metros,Los Cardales,10.0,NE,PRIVADO,NOCONTROL,RACE,SAEF,civil,Nacional,NO,NO,Buenos Aires,NO
HLS,SIN_CODIGO,SIN_CODIGO,helipuerto,OPEN DOOR/LA SUPERBA,"34°30' 3""S  59° 0'55""W",-34.50083333333333,-59.015277777777776,0.0,Metros,,0.0,Lindando,PRIVADO,NOCONTROL,RACE,SAEF,desconocido,Nacional,NO,NO,Buenos Aires,NO
HLT,SIN_CODIGO,SIN_CODIGO,helipuerto,VILLA ROSA/LAS CHACRITAS,"34°24'17""S  58°51'49""W",-34.40472222222222,-58.86361111111111,19.66,Metros,Villa Rosa,1.5,NNE,PRIVADO,NOCONTROL,RACE,SAEF,civil,Nacional,NO,NO,Buenos Aires,NO
HLU,SIN_CODIGO,SIN_CODIGO,helipuerto,LUJÁN/TRANSENER S.A.,"32°22' 0""S  66° 3'59""W",-32.36666666666667,-66.06638888888888,600.0,Metros,Luján,9.0,O,PRIVADO,NOCONTROL,RANO,SACF,civil,Nacional,NO,NO,San Luis,NO
HMA,SIN_CODIGO,SIN_CODIGO,helipuerto,HUDSON/MANUEL AFONSO,"34°48'56""S  58°11'43""W",-34.815555555555555,-58.195277777777775,11.0,Metros,,0.0,,PUBLICO,NOCONTROL,RACE,SAEF,civil,Nacional,NO,NO,Buenos Aires,NO
HMC,SIN_CODIGO,SIN_CODIGO,helipuerto,GARÍN/MIRAFLORES COUNTRY CLUB,"34°26'45""S  58°44' 3""W",-34.44583333333333,-58.73416666666667,21.0,Metros,Garin,2.6,S,PRIVADO,NOCONTROL,RACE,SAEF,civil,Nacional,NO,NO,Buenos Aires,NO
HMD,SIN_CODIGO,SIN_CODIGO,helipuerto,BUENOS AIRES/HELIPUERTO SWISS MEDICAL,"34°34'52""S  58°25'46""W",-34.58111111111111,-58.42944444444444,59.0,Metros,Juan B. Justo 909,0.0,Lindando,PRIVADO,NOCONTROL,RACE,SAEF,civil,Nacional,NO,NO,Ciudad Autónoma De Buenos Aires,NO
HME,SIN_CODIGO,SIN_CODIGO,helipuerto,PILAR/MEMORIAL,"34°26'40""S  58°50'12""W",-34.44444444444444,-58.836666666666666,19.0,Metros,Ruta Panamericana Km. 46,0.0,,PRIVADO,NOCONTROL,RACE,SAEF,civil,Nacional,NO,NO,Buenos Aires,NO
HMF,SIN_CODIGO,SIN_CODIGO,helipuerto,LA MATANZA/OFICIAL SUBINSPECTOR GUSTAVO SOAREZ DE SOUZA,"34°43'25""S  58°30'54""W",-34.72361111111111,-58.515,43.0,Metros,Ruta 4 y Autopista Richieri,0.0,O,PRIVADO,NOCONTROL,RACE,SAEF,civil,Nacional,NO,NO,Buenos Aires,NO
HMG,SIN_CODIGO,SIN_CODIGO,helipuerto,BUENOS AIRES / MADERO HARBOUR,"34°37'16""S  58°21'39""W",-34.62111111111111,-58.36083333333333,78.8,Metros,Edificio T5 - Complejo Madero Harbour,,,PRIVADO,NOCONTROL,RACE,SAEF,civil,Nacional,NO,NO,Ciudad Autónoma De Buenos Aires,NO
HMH,SIN_CODIGO,SIN_CODIGO,helipuerto,SAN FERNANDO/PARANÁ MINÍ,"34°10'16""S  58°30'39""W",-34.17111111111111,-58.51083333333333,5.0,Metros,Río Paraná Miní,0.0,E,PRIVADO,NOCONTROL,RACE,SAEF,civil,Nacional,NO,NO,Buenos Aires,NO
HMM,SIN_CODIGO,SIN_CODIGO,helipuerto,DR. MARIANO MORENO,"34°33'46""S  58°47'26""W",-34.562777777777775,-58.79055555555556,32.0,Metros,José C. Paz,7.0,S,PRIVADO,NOCONTROL,RACE,SAEF,mil,Nacional,NO,NO,Buenos Aires,NO
HMQ,SIN_CODIGO,SIN_CODIGO,helipuerto,HELIPLATAFORMA AM5,"52°34'14""S  68°15'12""W",-52.57055555555556,-68.25333333333333,30.0,Metros,Estrecho de Magallanes,0.0,Lindando,PRIVADO,NOCONTROL,RASU,SAVF,civil,Nacional,NO,NO,Tierra Del Fuego Antártida E Islas Del Atlántico Sur,NO
HMT,SIN_CODIGO,SIN_CODIGO,helipuerto,MONTE CRISTO/TRANSENER S.A.,"31°20'21""S  63°54'50""W",-31.339166666666664,-63.913888888888884,330.0,Metros,Monte Cristo,3.0,E,PRIVADO,NOCONTROL,RANO,SACF,civil,Nacional,NO,NO,Córdoba,NO
HMY,SIN_CODIGO,SIN_CODIGO,helipuerto,LA MATANZA/TERMINAL Y.P.F.,"34°43'55""S  58°33'28""W",-34.731944444444444,-58.55777777777777,10.0,Metros,Ruta Prov. 21 y Av. Cristianía,0.0,Lindando,PRIVADO,NOCONTROL,RACE,SAEF,civil,Nacional,NO,NO,Buenos Aires,NO
HNB,SIN_CODIGO,SIN_CODIGO,helipuerto,TIGRE/NORDELTA,"34°26'23""S  58°38'32""W",-34.439722222222215,-58.64222222222222,5.0,Metros,Tigre,2.0,NNO,PRIVADO,NOCONTROL,RACE,SAEF,civil,Nacional,NO,NO,Buenos Aires,NO
HNE,SIN_CODIGO,SIN_CODIGO,helipuerto,VILLA NUEVA/DAYRY PARTNERS AMERICAS MANUFACTURING ARGENTINA S.A,"32°26'16""S  63°13'27""W",-32.437777777777775,-63.22416666666667,195.0,Metros,Villa Nueva,0.0,Lindando,PRIVADO,NOCONTROL,RANO,SACF,civil,Nacional,NO,NO,Córdoba,NO
HNH,SIN_CODIGO,SIN_CODIGO,helipuerto,HELIPLATAFORMA NOBLE HOUSTON COLBERT,"53° 5'54""S  67°13'13""W",-53.098333333333336,-67.22027777777778,63.5,Metros,Cuenca Marina Austral I Aguas Juridiccionales Argentinas,,,PRIVADO,NOCONTROL,RASU,SAVF,desconocido,Nacional,NO,NO,Tierra Del Fuego Antártida E Islas Del Atlántico Sur,NO
HNO,SIN_CODIGO,SIN_CODIGO,helipuerto,HELIPLATAFORMA/RÍO CULLEN-HIDRANORT,"52°49'14""S  68°13' 9""W",-52.82055555555556,-68.21916666666667,20.0,Metros,,0.0,Lindando,PRIVADO,NOCONTROL,RASU,SAVF,civil,Nacional,NO,NO,Tierra Del Fuego Antártida E Islas Del Atlántico Sur,NO
HNP,SIN_CODIGO,SIN_CODIGO,helipuerto,BUENOS AIRES/HOSPITAL NACIONAL DE PEDIATRÍA PROF. JUAN GARRAHAM,"34°37'52""S  58°23'38""W",-34.63111111111111,-58.39388888888889,39.0,Metros,Av. Juan de Garay y Pichincha,0.0,Lindando,PUBLICO,NOCONTROL,RACE,SAEF,civil,Nacional,NO,NO,Ciudad Autónoma De Buenos Aires,NO
HOB,SIN_CODIGO,SIN_CODIGO,helipuerto,ALTA GRACIA/ORESTE BERTA,"31°37'59""S  64°23'52""W",-31.633055555555558,-64.39777777777779,570.0,Metros,Alta Gracia,3.5,NE,PRIVADO,NOCONTROL,RANO,SACF,civil,Nacional,NO,NO,Córdoba,NO
HOC,SIN_CODIGO,SIN_CODIGO,helipuerto,HELIPLATAFORMA OCEANIC CHAMPION,"52°50' 0""S  66°25' 0""W",-52.833333333333336,-66.41666666666667,20.0,Metros,Río Grande,138.9,,PRIVADO,NOCONTROL,RASU,SAVF,desconocido,Nacional,NO,NO,Tierra Del Fuego Antártida E Islas Del Atlántico Sur,NO
HOS,SIN_CODIGO,SIN_CODIGO,helipuerto,HELIPLATAFORMA MÓVIL OCEAN SCEPTER,"46°28' 0""S  67°25'60""W",-46.46666666666667,-67.43333333333334,154.0,Metros,Golfo San Jorge,0.0,Lindando,PRIVADO,NOCONTROL,RASU,SAVF,civil,Nacional,NO,NO,Santa Cruz,NO
HPA,SIN_CODIGO,SIN_CODIGO,helipuerto,BUENOS AIRES/PRESIDENCIA DE LA NACIÓN,"34°36'23""S  58°22' 6""W",-34.60638888888889,-58.36833333333333,8.0,Metros,"Av Madero,Tte. Gral. Perón y Av. La Rábida",0.0,Lindando,PRIVADO,NOCONTROL,RACE,SAEF,civil,Nacional,NO,NO,Ciudad Autónoma De Buenos Aires,NO
HPC,SIN_CODIGO,SIN_CODIGO,helipuerto,CÓRDOBA/POLICIA PROVINCIA DE CÓRDOBA,"31°24'30""S  64°11'58""W",-31.40833333333333,-64.19944444444445,393.0,Metros,Córdoba,0.0,O,PUBLICO,NOCONTROL,RANO,SACF,civil,Nacional,NO,NO,Córdoba,NO
HPD,SIN_CODIGO,SIN_CODIGO,helipuerto,MENDOZA/POLICIA DE LA PROVINCIA DE MENDOZA,"32°52'42""S  68°52' 4""W",-32.87833333333333,-68.86777777777777,807.0,Metros,Aeropuerto de Mendoza,8.0,OSO,PRIVADO,NOCONTROL,RANO,SAMF,civil,Nacional,NO,NO,Mendoza,NO
HPE,SIN_CODIGO,SIN_CODIGO,helipuerto,PARANÁ/HOSPITAL MATERNO INFANTIL SAN ROQUE,"31°43'48""S  60°31'17""W",-31.729999999999997,-60.521388888888886,81.0,Metros,Paraná,0.0,,PUBLICO,NOCONTROL,RACE,SAEF,civil,Nacional,NO,NO,Entre Ríos,NO
HPG,SIN_CODIGO,SIN_CODIGO,helipuerto,PIEDRA DEL ÁGUILA/TRANSENER S.A.,"40° 9'41""S  70° 2'33""W",-40.16138888888889,-70.0425,702.0,Metros,Piedra del Águila,13.5,S,PRIVADO,NOCONTROL,RACE,SAEF,civil,Nacional,NO,NO,Neuquén,NO
HPI,SIN_CODIGO,SIN_CODIGO,helipuerto,PILAR GOLF/PIERO VARA,"34°25'59""S  58°58'21""W",-34.433055555555555,-58.972500000000004,12.0,Metros,Pilar,6.0,ONO,PRIVADO,NOCONTROL,RACE,SAEF,desconocido,Nacional,NO,NO,Buenos Aires,NO
HPL,SIN_CODIGO,SIN_CODIGO,helipuerto,LA RIOJA/HELIPUERTO POLICIA PROVINCIAL C.A.P.E.,"29°26' 8""S  66°51'48""W",-29.435555555555556,-66.86333333333333,520.0,Metros,La Rioja,2.6,SSO,PRIVADO,NOCONTROL,RANO,SACF,civil,Nacional,NO,NO,La Rioja,NO
HPM,SIN_CODIGO,SIN_CODIGO,helipuerto,LA PLATA/POLICLÍNICO SAN MARTÍN,"34°55'29""S  57°55'19""W",-34.92472222222222,-57.92194444444444,21.0,Metros,Av. 1 y Calle 71,0.0,Lindando,PUBLICO,NOCONTROL,RACE,SAEF,civil,Nacional,NO,NO,Buenos Aires,NO
HPN,SIN_CODIGO,SIN_CODIGO,helipuerto,BUENOS AIRES/P.N.A. OF. PPAL. BALLESTRA,"34°34'38""S  58°23' 2""W",-34.577222222222225,-58.38388888888889,6.0,Metros,Junín y Rafael Obligado (Dársena F),0.0,Lindando,PRIVADO,NOCONTROL,RACE,SAEF,mil,Nacional,NO,NO,Ciudad Autónoma De Buenos Aires,NO
HPO,SIN_CODIGO,SIN_CODIGO,helipuerto,PUERTO ESPERANZA,"25°59'25""S  54°38'18""W",-25.990277777777777,-54.638333333333335,155.0,Metros,Esperanza,4.7,NO,PRIVADO,NOCONTROL,RANE,SARR,civil,Nacional,NO,NO,Misiones,NO
HPS,SIN_CODIGO,SIN_CODIGO,helipuerto,PACHÓN/HELIPUERTO PACHÓN MINERA S.A.,"31°45'36""S  70°24'44""W",-31.76,-70.41222222222223,3600.0,Metros,Pachón,0.0,Lindando,PRIVADO,NOCONTROL,RANO,SAMF,desconocido,Nacional,NO,NO,San Juan,NO
HPT,SIN_CODIGO,SIN_CODIGO,helipuerto,SAN MARTÍN/COOPERATIVA DE TRABAJOS PORTUARIOS LIMITADA,"32°43' 9""S  60°43'35""W",-32.719166666666666,-60.72638888888889,9.0,Metros,Puerto General San Martín,0.5,SE,PRIVADO,NOCONTROL,RACE,SAEF,civil,Nacional,NO,NO,Santa Fé,NO
HPU,SIN_CODIGO,SIN_CODIGO,helipuerto,PUELCHES/TRANSENER S.A.,"38° 8'52""S  65°49'30""W",-38.147777777777776,-65.825,229.0,Metros,Puelches,8.0,E,PRIVADO,NOCONTROL,RACE,SAEF,civil,Nacional,NO,NO,La Pampa,NO
HRC,SIN_CODIGO,SIN_CODIGO,helipuerto,CARMEN DE ARECO/SAN JOAQUÍN,"34°20'19""S  59°43'17""W",-34.33861111111111,-59.72138888888889,42.0,Metros,Carmen de Areco,16.0,NE,PRIVADO,NOCONTROL,RACE,SAEF,civil,Nacional,NO,NO,Buenos Aires,NO
HRE,SIN_CODIGO,SIN_CODIGO,helipuerto,RECREO/TRANSENER S.A.,"29°15'46""S  65° 3'30""W",-29.262777777777778,-65.05833333333334,247.0,Metros,Recreo,0.0,,PRIVADO,NOCONTROL,RANO,SACF,civil,Nacional,NO,NO,Catamarca,NO
HRI,SIN_CODIGO,SIN_CODIGO,helipuerto,HELIPLATAFORMA CARINA/TOTAL FINA ELF,"52°45'26""S  67°13'10""W",-52.757222222222225,-67.21944444444445,0.0,Pies,,0.0,,PRIVADO,NOCONTROL,RASU,SAVF,civil,Nacional,NO,NO,Tierra Del Fuego Antártida E Islas Del Atlántico Sur,NO
HRM,SIN_CODIGO,SIN_CODIGO,helipuerto,SAN MARTÍN DE LOS ANDES/RANCHO DE MONTAÑA,"40° 9' 8""S  71°17' 7""W",-40.15222222222222,-71.28527777777778,1005.0,Metros,San Martín de los Andes,5.0,E,PRIVADO,NOCONTROL,RACE,SAEF,civil,Nacional,NO,NO,Neuquén,NO
HRR,SIN_CODIGO,SIN_CODIGO,helipuerto,MORRISON,"32°35'10""S  62°50' 6""W",-32.586111111111116,-62.835,142.0,Metros,Morrison,3.5,NO,PRIVADO,NOCONTROL,RANO,SACF,civil,Nacional,NO,NO,Córdoba,NO
HRT,SIN_CODIGO,SIN_CODIGO,helipuerto,ROMANG/TRANSENER S.A.,"29°27'41""S  59°45'53""W",-29.461388888888887,-59.764722222222225,58.0,Metros,Romang,3.5,E,PRIVADO,NOCONTROL,RANE,SARR,civil,Nacional,NO,NO,Santa Fé,NO
HRW,SIN_CODIGO,SIN_CODIGO,helipuerto,RÍO GRANDE/EA. RÍO EWAN,"54°14' 1""S  67°12'48""W",-54.23361111111111,-67.21333333333334,33.7,Metros,Río Grande,59.0,SE,PRIVADO,NOCONTROL,RASU,SAVF,civil,Nacional,NO,NO,Tierra Del Fuego Antártida E Islas Del Atlántico Sur,NO
HSC,SIN_CODIGO,SIN_CODIGO,helipuerto,SPEGAZZINI/CENTRAL TÉRMICA,"34°54' 7""S  58°36'56""W",-34.901944444444446,-58.61555555555556,17.0,Metros,Carlos Spegazzini,2.2,NW,PRIVADO,NOCONTROL,RACE,SAEF,civil,Nacional,NO,NO,Buenos Aires,NO
HSD,SIN_CODIGO,SIN_CODIGO,helipuerto,MORENO/COUNTRY CLUB SAN DIEGO,"34°36' 2""S  58°50'27""W",-34.60055555555556,-58.840833333333336,23.5,Metros,Moreno,7.5,NO,PRIVADO,NOCONTROL,RACE,SAEF,desconocido,Nacional,NO,NO,Buenos Aires,NO
HSG,SIN_CODIGO,SIN_CODIGO,helipuerto,BUENOS AIRES/SANATORIO GÜEMES,"34°35'49""S  58°25'19""W",-34.596944444444446,-58.42194444444444,82.0,Metros,Facundo Acuña de Figueroa y Av. Córdoba,0.0,Lindando,PRIVADO,NOCONTROL,RACE,SAEF,civil,Nacional,NO,NO,Ciudad Autónoma De Buenos Aires,NO
HSH,SIN_CODIGO,SIN_CODIGO,helipuerto,SAN ANDRÉS DE GILES/HOSPITAL MUNICIPAL,"34°26'56""S  59°26'58""W",-34.44888888888889,-59.44944444444444,47.0,Metros,Rawson entre Soulé y Cámpora,0.0,,PUBLICO,NOCONTROL,RACE,SAEF,civil,Nacional,NO,NO,Buenos Aires,NO
HSJ,SIN_CODIGO,SIN_CODIGO,aeródromo,CURUZÚ CUATIÁ/EA. SAN JUAN,"29°36' 6""S  58° 1'19""W",-29.601666666666667,-58.02194444444444,82.0,Metros,Curuzú Cuatiá,20.0,N,PRIVADO,NOCONTROL,RANE,SARR,civil,Nacional,NO,NO,Corrientes,NO
HSM,SIN_CODIGO,SIN_CODIGO,helipuerto,TIGRE/ISLA SANTA MÓNICA,"34°24'53""S  58°30'27""W",-34.414722222222224,-58.5075,3.0,Metros,,0.0,Lindando,PRIVADO,NOCONTROL,RACE,SAEF,civil,Nacional,NO,NO,Buenos Aires,NO
HSN,SIN_CODIGO,SIN_CODIGO,helipuerto,SAN NICOLÁS DE LOS ARROYOS/MIGUEL COLOMBISE,"33°21'32""S  60°14'58""W",-33.35888888888889,-60.24944444444444,27.0,Metros,Estación FFCC local,2.7,SO,PUBLICO,NOCONTROL,RACE,SAEF,civil,Nacional,NO,NO,Buenos Aires,NO
HSR,SIN_CODIGO,SIN_CODIGO,helipuerto,SANTA CRUZ/EA. SAN RAMÓN,"50°18'11""S  69°55' 4""W",-50.30305555555555,-69.91777777777779,374.0,Metros,Puerto Santa Cruz,104.0,SO,PRIVADO,NOCONTROL,RASU,SAVF,civil,Nacional,NO,NO,Santa Cruz,NO
HSW,SIN_CODIGO,SIN_CODIGO,helipuerto,HELIPLATAFORMA SWIBER PJW3000,"53° 4'35""S  67°57'50""W",-53.07638888888889,-67.96388888888889,36.0,Metros,Campo Vega Pleyade (531929S-0674311W 530346S-0674649W 525444S-0680635W 525554S-0681826W),,,PRIVADO,NOCONTROL,RASU,SAVF,desconocido,Nacional,NO,NO,Tierra Del Fuego Antártida E Islas Del Atlántico Sur,NO
HTA,SIN_CODIGO,SIN_CODIGO,helipuerto,CONCEPCIÓN DEL URUGUAY/HELIPUERTO TALITAS,"32°32'53""S  58°14'27""W",-32.54805555555556,-58.240833333333335,8.0,Metros,Concepción del Uruguay,17.0,SSO,PRIVADO,NOCONTROL,RACE,SAEF,civil,Nacional,NO,NO,Entre Ríos,NO
HTD,SIN_CODIGO,SIN_CODIGO,helipuerto,TANDIL/EA. LA PASCUALA,"37°23'37""S  58°57'59""W",-37.39361111111111,-58.96638888888889,220.0,Metros,Tandil,22.3,S,PRIVADO,NOCONTROL,RACE,SAEF,civil,Nacional,NO,NO,Buenos Aires,NO
HTE,SIN_CODIGO,SIN_CODIGO,helipuerto,SALTA/TEMET,"24°50'10""S  65°22'20""W",-24.83611111111111,-65.37222222222222,1180.0,Metros,Salta,6.5,SE,PRIVADO,NOCONTROL,RANO,SACF,civil,Nacional,NO,NO,Salta,NO
HTL,SIN_CODIGO,SIN_CODIGO,helipuerto,TRENQUE LAUQUEN/EA. LA CHACOTA,"35°54'48""S  62°38'30""W",-35.913333333333334,-62.641666666666666,90.0,Metros,Trenque Lauquen,13.0,NE,PRIVADO,NOCONTROL,RACE,SAEF,civil,Nacional,NO,NO,Buenos Aires,NO
