local,oaci,iata,tipo,denominacion,coordenadas,latitud,longitud,elev,uom_elev,ref,distancia_ref,direccion_ref,condicion,control,region,fir,uso,trafico,sna,concesionado,provincia,inhab
CRV,SAVC,CRD,aeródromo,COMODORO RIVADAVIA/GRAL. E. MOSCONI,"45°47' 7""S  67°27'56""W",-45.78527777777778,-67.46555555555555,57.6,Metros,Comodoro Rivadavia,11.0,N,PUBLICO,CONTROL,RASU,SAVF,joint,Internacional,SI,SI,Chubut,NO
CSA,SIN_CODIGO,SIN_CODIGO,aeródromo,CALCHÍN/AEROCAMPO SERVICIOS AÉREOS,"31°39'27""S  63°16'34""W",-31.6575,-63.27611111111111,202.0,Metros,Calchín,5.0,E,PRIVADO,NOCONTROL,RANO,SACF,aeroapp,Nacional,NO,NO,Córdoba,NO
CSJ,SIN_CODIGO,SIN_CODIGO,aeródromo,MORTEROS/CAMPO SAN JOSÉ,"30°46'37""S  62° 0'53""W",-30.776944444444442,-62.014722222222225,101.0,Metros,Morteros,6.0,SO,PRIVADO,NOCONTROL,RANO,SACF,aeroapp,Nacional,NO,NO,Córdoba,NO
CSP,SIN_CODIGO,SIN_CODIGO,aeródromo,CAPITÁN SARMIENTO/SAN PATRICIO,"34° 2'25""S  59°41'40""W",-34.040277777777774,-59.69444444444444,45.0,Metros,Capitán Sarmiento,16.7,NNE,PRIVADO,NOCONTROL,RACE,SAEF,civil,Nacional,NO,NO,Buenos Aires,NO
CSQ,SIN_CODIGO,SIN_CODIGO,aeródromo,CAPITÁN SARMIENTO/QUEBRACHO HERRADO,"34° 9'22""S  59°52'24""W",-34.15611111111111,-59.873333333333335,52.0,Metros,Capitán Sarmiento,8.0,O,PRIVADO,NOCONTROL,RACE,SAEF,civil,Nacional,NO,NO,Buenos Aires,NO
CSR,SIN_CODIGO,SIN_CODIGO,aeródromo,CARLOS CASARES,"35°37'47""S  61°23'38""W",-35.62972222222222,-61.39388888888889,80.0,Metros,Carlos Casares,2.0,O,PUBLICO,NOCONTROL,RACE,SAEF,civil,Nacional,NO,NO,Buenos Aires,NO
CSU,SIN_CODIGO,SIN_CODIGO,aeródromo,CHAJARI/SUR,"30°48' 8""S  58° 0'51""W",-30.802222222222223,-58.01416666666667,69.0,Metros,Chajarí,5.0,SSW,PRIVADO,NOCONTROL,RACE,SAEF,civil,Nacional,NO,NO,Entre Ríos,NO
CTA,SIN_CODIGO,SIN_CODIGO,aeródromo,COPETONAS,"38°44'37""S  60°33'12""W",-38.743611111111115,-60.55333333333333,51.0,Metros,Copetonas,9.0,OSO,PRIVADO,NOCONTROL,RACE,SAEF,civil,Nacional,NO,NO,Buenos Aires,NO
CTP,SIN_CODIGO,SIN_CODIGO,aeródromo,CATRILO/ESTABLECIMIENTO LA MARIA PILAR,"36°29'19""S  63°25'59""W",-36.48861111111111,-63.433055555555555,125.0,Metros,Catrilo,9.0,S,PRIVADO,NOCONTROL,RACE,SAEF,civil,Nacional,NO,NO,La Pampa,NO
CTS,SIN_CODIGO,SIN_CODIGO,aeródromo,CAPITÁN SARMIENTO,"34° 9'52""S  59°43'53""W",-34.16444444444444,-59.731388888888894,49.0,Metros,Capitán Sarmiento,3.0,E,PUBLICO,NOCONTROL,RACE,SAEF,civil,Nacional,NO,NO,Buenos Aires,NO
CUA,SIN_CODIGO,SIN_CODIGO,aeródromo,RÍO CUARTO/AEROCLUB,"33° 9'38""S  64°20'14""W",-33.160555555555554,-64.33722222222222,424.0,Metros,Río Cuarto,4.0,SSE,PUBLICO,NOCONTROL,RANO,SACF,desconocido,Nacional,NO,NO,Córdoba,NO
CUM,SACC,LCM,aeródromo,LA CUMBRE,"31° 0'21""S  64°31'56""W",-31.00583333333333,-64.53222222222222,1138.0,Metros,La Cumbre,4.5,SO,PUBLICO,NOCONTROL,RANO,SACF,civil,Nacional,NO,NO,Córdoba,NO
CUT,SAZW,CUT,aeródromo,CUTRAL-CO,"38°56'23""S  69°15'54""W",-38.939722222222215,-69.265,650.0,Metros,Cutral Có,2.0,OSO,PUBLICO,AERADIO,RACE,SAEF,civil,Nacional,SI,NO,Neuquén,NO
CVV,SIN_CODIGO,SIN_CODIGO,aeródromo,VILLA VALERIA,"34°21'23""S  64°54' 4""W",-34.35638888888889,-64.90111111111112,290.0,Metros,Villa Valeria,2.0,SE,PRIVADO,NOCONTROL,RANO,SACF,aeroapp,Nacional,NO,NO,Córdoba,NO
CZU,SIN_CODIGO,SIN_CODIGO,aeródromo,CURUZÚ CUATIÁ/AEROCLUB,"29°46'44""S  58° 5'49""W",-29.778888888888886,-58.096944444444446,80.0,Metros,Curuzú Cuatiá,1.5,NO,PUBLICO,NOCONTROL,RANE,SARR,civil,Nacional,NO,NO,Corrientes,NO
DAR,SIN_CODIGO,SIN_CODIGO,aeródromo,DARREGUEIRA,"37°42'44""S  63° 9'45""W",-37.71222222222222,-63.1625,198.0,Metros,Darregueira,1.5,SSO,PRIVADO,NOCONTROL,RACE,SAEF,civil,Nacional,NO,NO,Buenos Aires,NO
DFR,SIN_CODIGO,SIN_CODIGO,aeródromo,DAIREAUX/FUMIGACIONES RODRIGUEZ,"36°35'27""S  61°46'30""W",-36.590833333333336,-61.775,113.0,Metros,Daireaux,2.0,ONO,PUBLICO,NOCONTROL,RACE,SAEF,aeroapp,Nacional,NO,NO,Buenos Aires,NO
DIA,SAAC,COC,aeródromo,CONCORDIA/COMODORO PIERRESTEGUI,"31°17'49""S  57°59'48""W",-31.296944444444446,-57.99666666666667,34.0,Metros,Concordia,12.0,N,PUBLICO,CONTROL,RACE,SAEF,civil,Nacional,SI,NO,Entre Ríos,NO
DIL,SAZT,TDL,aeródromo,TANDIL/HÉROES DE MALVINAS,"37°14' 4""S  59°13'43""W",-37.23444444444444,-59.228611111111114,175.0,Metros,Tandil,13.0,NO,PUBLICO,CONTROL,RACE,SAEF,desconocido,Nacional,SI,NO,Buenos Aires,NO
DIO,SIN_CODIGO,SIN_CODIGO,aeródromo,TANDIL/COMANDANTE EDUARDO A. OLIVERO,"37°20'48""S  58°58'58""W",-37.34666666666667,-58.98277777777778,193.0,Metros,Tandil,15.0,ESE,PUBLICO,NOCONTROL,RACE,SAEF,desconocido,Nacional,NO,NO,Buenos Aires,NO
DOF,SIN_CODIGO,SIN_CODIGO,aeródromo,MARTINEZ DE HOZ/FUMIGACIONES ORTEGA,"35°16'41""S  61°33'13""W",-35.278055555555554,-61.55361111111111,89.0,Metros,Coronel Martinez de Hoz,8.0,ENE,PRIVADO,NOCONTROL,RACE,SAEF,aeroapp,Nacional,NO,NO,Buenos Aires,NO
DOL,SAZD,SIN_CODIGO,aeródromo,DOLORES,"36°19'12""S  57°43'14""W",-36.32,-57.720555555555556,10.0,Metros,Dolores,4.0,O,PUBLICO,NOCONTROL,RACE,SAEF,civil,Nacional,NO,NO,Buenos Aires,NO
DOP,SIN_CODIGO,SIN_CODIGO,aeródromo,MENDOZA/LA PUNTILLA,"32°57'45""S  68°52'26""W",-32.962500000000006,-68.87388888888889,942.0,Metros,Ap. El Plumerillo,8.5,SO,PUBLICO,NOCONTROL,RANO,SAMF,desconocido,Nacional,NO,NO,Mendoza,NO
DOR,SIN_CODIGO,SIN_CODIGO,aeródromo,CORONEL DORREGO,"38°44'28""S  61°15'21""W",-38.74111111111111,-61.255833333333335,120.0,Metros,Coronel Dorrego,2.0,SE,PUBLICO,NOCONTROL,RACE,SAEF,civil,Nacional,NO,NO,Buenos Aires,NO
DOZ,SAME,MDZ,aeródromo,MENDOZA/EL PLUMERILLO,"32°49'54""S  68°47'34""W",-32.83166666666667,-68.79277777777777,704.0,Metros,Mendoza,8.0,NE,PUBLICO,CONTROL,RANO,SAMF,desconocido,Internacional,SI,SI,Mendoza,NO
DRA,SIN_CODIGO,SIN_CODIGO,aeródromo,SAAVEDRA,"37°44'59""S  62°20' 2""W",-37.749722222222225,-62.33388888888889,317.0,Metros,Saavedra,3.0,NNE,PUBLICO,NOCONTROL,RACE,SAEF,desconocido,Nacional,NO,NO,Buenos Aires,NO
DRX,SIN_CODIGO,SIN_CODIGO,aeródromo,DAIREAUX,"36°34'58""S  61°47' 3""W",-36.58277777777778,-61.784166666666664,116.0,Metros,Daireaux,3.5,O,PRIVADO,NOCONTROL,RACE,SAEF,civil,Nacional,NO,NO,Buenos Aires,NO
DRY,SAVY,PMY,aeródromo,PUERTO MADRYN/EL TEHUELCHE,"42°45'33""S  65° 6'10""W",-42.759166666666665,-65.10277777777777,130.0,Metros,Puerto Madryn,5.3,ONO,PUBLICO,CONTROL,RASU,SAVF,desconocido,Nacional,SI,SI,Chubut,NO
DTE,SIN_CODIGO,SIN_CODIGO,aeródromo,DIAMANTE,"32° 0'58""S  60°34'60""W",-32.01611111111111,-60.583333333333336,75.0,Metros,Diamante,4.5,NNE,PUBLICO,NOCONTROL,RACE,SAEF,civil,Nacional,NO,NO,Entre Ríos,NO
EAU,SAWO,SIN_CODIGO,aeródromo,USHUAIA/EST. AERONAVAL,"54°49'22""S  68°18'15""W",-54.82277777777778,-68.30416666666666,6.0,Metros,Ushuaia,1.0,S,PRIVADO,NOCONTROL,RASU,SAVF,desconocido,Nacional,NO,NO,Tierra Del Fuego Antártida E Islas Del Atlántico Sur,NO
EBF,SIN_CODIGO,SIN_CODIGO,aeródromo,ESPERANZA/ANIBAL BRIZI,"31°24'20""S  60°53'58""W",-31.405555555555555,-60.89944444444444,39.0,Metros,Esperanza,1.5,N,PRIVADO,NOCONTROL,RACE,SAEF,aeroapp,Nacional,NO,NO,Santa Fé,NO
ECA,SAWC,FTE,aeródromo,EL CALAFATE,"50°16'48""S  72° 3'11""W",-50.28,-72.05305555555556,204.0,Metros,El Calafate,16.6,ENE,PUBLICO,CONTROL,RASU,SAVF,civil,Nacional,SI,SI,Santa Cruz,NO
ECX,SIN_CODIGO,SIN_CODIGO,aeródromo,EDUARDO CASTEX,"35°52'56""S  64°16'30""W",-35.882222222222225,-64.275,183.0,Metros,Eduardo Castex,4.5,NE,PUBLICO,NOCONTROL,RACE,SAEF,civil,Nacional,NO,NO,La Pampa,NO
EDO,SACD,SIN_CODIGO,aeródromo,CORONEL OLMEDO,"31°29'12""S  64° 8'27""W",-31.486666666666668,-64.14083333333333,432.0,Metros,Coronel Olmedo,1.2,S,PUBLICO,NOCONTROL,RANO,SACF,civil,Nacional,NO,NO,Córdoba,NO
EGO,SIN_CODIGO,SIN_CODIGO,aeródromo,LAS PAREJAS/EL GAUCHO,"32°37'46""S  61°32'40""W",-32.629444444444445,-61.544444444444444,105.0,Metros,Las Parejas,6.0,NNO,PRIVADO,NOCONTROL,RACE,SAEF,civil,Nacional,NO,NO,Santa Fé,NO
ELC,SIN_CODIGO,SIN_CODIGO,aeródromo,VEINTICINCO DE MAYO/ESTANCIA LA CRIOLLA,"35°32'12""S  60° 7'45""W",-35.53666666666666,-60.12916666666667,48.0,Metros,25 de Mayo,12.0,SE,PRIVADO,NOCONTROL,RACE,SAEF,civil,Nacional,NO,NO,Buenos Aires,NO
ELD,SATD,ELO,aeródromo,ELDORADO,"26°23'49""S  54°34'29""W",-26.396944444444443,-54.57472222222223,209.0,Metros,Eldorado,5.0,NE,PUBLICO,AERADIO,RANE,SARR,civil,Nacional,NO,NO,Misiones,NO
ELL,SIN_CODIGO,SIN_CODIGO,aeródromo,MAR DEL SUR/EA. LUCILA,"38°18'31""S  58° 6'18""W",-38.308611111111105,-58.105000000000004,22.0,Metros,Mar del Sur,5.0,SE,PRIVADO,NOCONTROL,RACE,SAEF,desconocido,Nacional,NO,NO,Buenos Aires,NO
ELP,SIN_CODIGO,SIN_CODIGO,aeródromo,SANTA ROSA/EL PAMPERO,"36°35'50""S  64°11'12""W",-36.59722222222222,-64.18666666666667,178.0,Metros,Santa Rosa,10.0,NE,PUBLICO,NOCONTROL,RACE,SAEF,desconocido,Nacional,NO,NO,La Pampa,NO
ELZ,SIN_CODIGO,SIN_CODIGO,aeródromo,ELIZALDE,"34°58'30""S  57°57'45""W",-34.975,-57.962500000000006,7.0,Metros,Rufino de Elizalde,2.0,SSO,PUBLICO,NOCONTROL,RACE,SAEF,civil,Nacional,NO,NO,Buenos Aires,NO
EMA,SAVD,EMX,aeródromo,EL MAITÉN,"42° 1'48""S  71°10'15""W",-42.03,-71.17083333333333,718.0,Metros,El Maitén,3.0,N,PUBLICO,AERADIO,RASU,SAVF,civil,Nacional,NO,NO,Chubut,NO
EML,SIN_CODIGO,SIN_CODIGO,aeródromo,CORONEL BRANDSEN/EL MANANTIAL,"35°11'40""S  58°21'36""W",-35.19444444444444,-58.36,15.0,Metros,Coronel Brandsen,12.5,OSO,PRIVADO,NOCONTROL,RACE,SAEF,civil,Nacional,NO,NO,Buenos Aires,NO
ENO,SADJ,SIN_CODIGO,aeródromo,MARIANO MORENO,"34°33'36""S  58°47'23""W",-34.559999999999995,-58.78972222222222,32.0,Metros,José C. Paz,7.0,S,PUBLICO,CONTROL,RACE,SAEF,desconocido,Nacional,NO,NO,Buenos Aires,NO
ENV,SIN_CODIGO,SIN_CODIGO,aeródromo,RIACHUELO/NUEVA VALENCIA,"27°35'15""S  58°49' 8""W",-27.5875,-58.81888888888889,57.0,Metros,Corrientes,13.5,S,PRIVADO,NOCONTROL,RANE,SARR,desconocido,Nacional,NO,NO,Corrientes,NO
EPZ,SIN_CODIGO,SIN_CODIGO,aeródromo,ESPERANZA,"31°28'24""S  60°50'43""W",-31.473333333333333,-60.84527777777778,38.0,Metros,Esperanza,8.0,E,PUBLICO,NOCONTROL,RACE,SAEF,civil,Nacional,NO,NO,Santa Fé,NO
ERE,SANW,CRR,aeródromo,CERES,"29°52'18""S  61°55'37""W",-29.871666666666666,-61.926944444444445,87.0,Metros,Ceres,0.7,NE,PUBLICO,AERADIO,RANO,SACF,civil,Nacional,NO,NO,Santa Fé,NO
ERT,SIN_CODIGO,SIN_CODIGO,aeródromo,VILLA MERCEDES/EA. DON ROBERTO,"34° 0' 4""S  65°21'60""W",-34.00111111111111,-65.36666666666666,436.0,Metros,Villa Mercedes,37.0,SSE,PRIVADO,NOCONTROL,RANO,SAMF,desconocido,Nacional,NO,NO,San Luis,NO
ESN,SIN_CODIGO,SIN_CODIGO,aeródromo,ESQUINA,"30° 2'51""S  59°32' 7""W",-30.047500000000003,-59.53527777777778,39.0,Metros,Esquina,4.0,S,PUBLICO,NOCONTROL,RANE,SARR,civil,Nacional,NO,NO,Corrientes,NO
ESQ,SAVE,EQS,aeródromo,ESQUEL/BRIGADIER GENERAL ANTONIO PARODI,"42°54'14""S  71° 8' 8""W",-42.903888888888886,-71.13555555555556,799.0,Metros,Esquel,12.0,ESE,PUBLICO,CONTROL,RASU,SAVF,civil,Nacional,SI,SI,Chubut,NO
ESR,SIN_CODIGO,SIN_CODIGO,aeródromo,EL ESPINILLO/ESTANCIA SAN RAFAEL,"25° 2'36""S  58°35'29""W",-25.043333333333337,-58.59138888888889,88.0,Metros,El Espinillo,8.0,SE,PRIVADO,NOCONTROL,RANE,SARR,civil,Nacional,NO,NO,Formosa,NO
ETB,SIN_CODIGO,SIN_CODIGO,aeródromo,EL TREBOL,"32°12'58""S  61°42'59""W",-32.21611111111111,-61.71638888888889,92.0,Metros,El Trebol,5.0,O,PUBLICO,NOCONTROL,RACE,SAEF,civil,Nacional,NO,NO,Santa Fé,NO
EVC,SIN_CODIGO,SIN_CODIGO,aeródromo,GDOR. VALENTIN VIRASORO/EA. VILLA CORINA,"28° 2'28""S  56° 4'16""W",-28.041111111111114,-56.071111111111115,123.0,Metros,Gobernador Valentín Virasoro,5.0,O,PRIVADO,NOCONTROL,RANE,SARR,civil,Nacional,NO,NO,Corrientes,NO
EZA,SIN_CODIGO,SIN_CODIGO,aeródromo,LOS CONQUISTADORES/BUENA ESPERANZA,"30°31'14""S  58°23'59""W",-30.520555555555553,-58.39972222222222,75.0,Metros,Los Conquistadores,8.0,NE,PRIVADO,NOCONTROL,RANE,SAEF,desconocido,Nacional,NO,NO,Entre Ríos,NO
EZE,SAEZ,EZE,aeródromo,EZEIZA/MINISTRO PISTARINI,"34°49'20""S  58°32' 9""W",-34.82222222222222,-58.53583333333333,20.5,Metros,Capital Federal,22.0,SSO,PUBLICO,CONTROL,RACE,SAEF,civil,Internacional,SI,SI,Buenos Aires,NO
EZP,SIN_CODIGO,SIN_CODIGO,aeródromo,EZPELETA,"34°44'47""S  58°12'12""W",-34.74638888888889,-58.20333333333333,3.0,Metros,Ezpeleta,3.0,ENE,PUBLICO,NOCONTROL,RACE,SAEF,civil,Nacional,NO,NO,Buenos Aires,NO
FAE,SIN_CODIGO,SIN_CODIGO,aeródromo,FIRMAT/AEROCLUB,"33°25'45""S  61°30'40""W",-33.42916666666667,-61.51111111111111,105.0,Metros,Firmat,3.0,NO,PRIVADO,NOCONTROL,RACE,SAEF,civil,Nacional,NO,NO,Santa Fé,NO
FAG,SIN_CODIGO,SIN_CODIGO,aeródromo,FEDERAL/LA ANGELITA,"30°51' 8""S  58°42'24""W",-30.852222222222224,-58.70666666666667,70.0,Metros,Federal,13.0,NNE,PRIVADO,NOCONTROL,RACE,SAEF,civil,Nacional,NO,NO,Entre Ríos,NO
FDD,SIN_CODIGO,SIN_CODIGO,aeródromo,FORTÍN DRAGONES/EL DESAFÍO,"23°14'33""S  63°19'23""W",-23.2425,-63.323055555555555,244.0,Metros,Dragones,2.0,NE,PRIVADO,NOCONTROL,RANO,SACF,civil,Nacional,NO,NO,Salta,NO
FDO,SADF,FDO,aeródromo,SAN FERNANDO,"34°27'16""S  58°35'27""W",-34.45444444444445,-58.590833333333336,3.0,Metros,San Fernando,2.0,SO,PUBLICO,CONTROL,RACE,SAEF,desconocido,Internacional,SI,SI,Buenos Aires,NO
FIM,SIN_CODIGO,SIN_CODIGO,aeródromo,FIRMAT,"33°28' 5""S  61°30' 4""W",-33.46805555555556,-61.50111111111111,105.0,Metros,Firmat,1.7,SO,PRIVADO,NOCONTROL,RACE,SAEF,aeroapp,Nacional,NO,NO,Santa Fé,NO
